max_center_usage,max_center_supply,max_temperature,w_date
NULL,NULL,28.6,2017-03-20
NULL,NULL,28.5,2017-03-21
NULL,NULL,27.8,2017-03-22
NULL,NULL,29.6,2017-03-23
NULL,NULL,29.7,2017-03-24
NULL,NULL,24.2,2017-03-25
NULL,NULL,16,2017-03-26
NULL,NULL,26.5,2017-03-27
NULL,NULL,25.9,2017-03-28
NULL,NULL,28.2,2017-03-29
NULL,NULL,28.4,2017-03-30
NULL,NULL,28.8,2017-03-31
NULL,NULL,22.2,2017-04-01
NULL,NULL,25.1,2017-04-02
NULL,NULL,25.5,2017-04-03
NULL,NULL,25.7,2017-04-04
NULL,NULL,27.6,2017-04-05
NULL,NULL,28.5,2017-04-06
NULL,NULL,27,2017-04-07
NULL,NULL,30.8,2017-04-08
NULL,NULL,31.2,2017-04-09
NULL,NULL,33.5,2017-04-10
NULL,NULL,27.4,2017-04-11
NULL,NULL,20.9,2017-04-12
NULL,NULL,20.9,2017-04-13
NULL,NULL,27.6,2017-04-14
NULL,NULL,30.2,2017-04-15
NULL,NULL,30.1,2017-04-16
NULL,NULL,31.2,2017-04-17
NULL,NULL,30.7,2017-04-18
814.1,900.7,32.2,2017-04-19
815.7,926.9,29,2017-04-20
824.4,937.2,31.1,2017-04-21
664.6,831.3,21.5,2017-04-22
647.9,841.6,24,2017-04-23
779.5,904.1,26.5,2017-04-24
782.2,896.6,27.1,2017-04-25
827,954.2,30.1,2017-04-26
738.5,911.4,22.1,2017-04-27
733.6,816.8,25.3,2017-04-28
674,782,28,2017-04-29
655.4,769.2,28.2,2017-04-30
679.6,834,29.5,2017-05-01
790.9,979.8,29.2,2017-05-02
829.1,971.1,30.2,2017-05-03
841.4,982.8,32,2017-05-04
856.9,998.7,31.4,2017-05-05
742.2,833.1,31.5,2017-05-06
706.2,899.2,31.8,2017-05-07
846.5,1010,31.8,2017-05-08
854.4,953,31.5,2017-05-09
862.5,1012.1,32.5,2017-05-10
873.4,1047.2,32.7,2017-05-11
871.2,1038.4,32.4,2017-05-12
783.1,856,30.4,2017-05-13
735.5,879.9,33.9,2017-05-14
856.2,1034.4,31.6,2017-05-15
818.3,959.6,24.2,2017-05-16
815.1,963.8,28.7,2017-05-17
857.8,986.2,30.9,2017-05-18
860.4,935.1,29.3,2017-05-19
743.1,868.5,27.1,2017-05-20
710.2,844.6,31.4,2017-05-21
878.9,995,31.5,2017-05-22
904.8,1071.8,31.8,2017-05-23
899.9,1066.1,29.7,2017-05-24
874,950.4,29.9,2017-05-25
837.2,968.8,29.4,2017-05-26
727.4,885.5,28.5,2017-05-27
698,880.8,30.4,2017-05-28
722.5,836.6,32.4,2017-05-29
735.2,976.5,29,2017-05-30
883.9,977.7,31.3,2017-05-31
835.5,1020,28.4,2017-06-01
841.8,971.6,28.8,2017-06-02
780.9,933.5,27.6,2017-06-03
702.9,985.4,29,2017-06-04
900.7,968,30.3,2017-06-05
925,1034.4,33.6,2017-06-06
947,1097.2,33.6,2017-06-07
891.2,1047.8,32.8,2017-06-08
904.2,1068.7,32.2,2017-06-09
846.9,938.6,33.5,2017-06-10
751.1,947.6,34.4,2017-06-11
916.9,1100,33.2,2017-06-12
910.1,1071.6,35.9,2017-06-13
841.4,1004.3,28.3,2017-06-14
814.9,928.1,25.1,2017-06-15
819.4,973.3,29.3,2017-06-16
739.2,864.4,26.5,2017-06-17
692.9,889.5,25.5,2017-06-18
813.5,969.4,29.4,2017-06-19
823.6,952.9,31.7,2017-06-20
863.7,1002.8,33.6,2017-06-21
872.1,1035.9,32.7,2017-06-22
924.2,1041,33.8,2017-06-23
827.5,962.6,33.7,2017-06-24
794.4,1038,33,2017-06-25
913.2,1007.4,33.8,2017-06-26
910.9,1024.9,32.8,2017-06-27
909.9,1037.8,33.7,2017-06-28
912.2,1020.2,33.2,2017-06-29
919.9,1011.1,34,2017-06-30
