max_south_usage,max_south_supply,max_temperature,w_date
NULL,NULL,23.6,2017-03-15
NULL,NULL,23.9,2017-03-16
NULL,NULL,26.2,2017-03-17
NULL,NULL,27.1,2017-03-18
NULL,NULL,27.8,2017-03-19
NULL,NULL,27.8,2017-03-20
NULL,NULL,30.2,2017-03-21
NULL,NULL,27.2,2017-03-22
NULL,NULL,30.1,2017-03-23
NULL,NULL,27.8,2017-03-24
NULL,NULL,26.9,2017-03-25
NULL,NULL,17,2017-03-26
NULL,NULL,25.6,2017-03-27
NULL,NULL,26.5,2017-03-28
NULL,NULL,28.9,2017-03-29
NULL,NULL,28.2,2017-03-30
NULL,NULL,29,2017-03-31
NULL,NULL,22.8,2017-04-01
NULL,NULL,24.5,2017-04-02
NULL,NULL,25.1,2017-04-03
NULL,NULL,25.6,2017-04-04
NULL,NULL,28.2,2017-04-05
NULL,NULL,27.5,2017-04-06
NULL,NULL,27.7,2017-04-07
NULL,NULL,29.7,2017-04-08
NULL,NULL,29.1,2017-04-09
NULL,NULL,31.3,2017-04-10
NULL,NULL,30.6,2017-04-11
NULL,NULL,25.9,2017-04-12
NULL,NULL,22.9,2017-04-13
NULL,NULL,28.7,2017-04-14
NULL,NULL,30.4,2017-04-15
NULL,NULL,30.7,2017-04-16
NULL,NULL,31.3,2017-04-17
NULL,NULL,29.4,2017-04-18
1020.9,1090.2,30.6,2017-04-19
1044.9,1140.1,30.3,2017-04-20
1034.8,1163.7,30,2017-04-21
878.8,853.4,24.1,2017-04-22
845.4,847.9,23.3,2017-04-23
966,967.8,27.9,2017-04-24
1001.9,1033.3,29.3,2017-04-25
1038.8,1064.7,30.5,2017-04-26
1006.1,988.2,26.5,2017-04-27
960.5,1009.8,26.8,2017-04-28
872.2,961.2,28.9,2017-04-29
840.2,833.9,29.2,2017-04-30
898.4,925.4,29.8,2017-05-01
1014,1038.8,31,2017-05-02
1052.5,1089.2,31.7,2017-05-03
1055.4,1117.2,31.4,2017-05-04
1080.9,1143.1,31.3,2017-05-05
998.7,1066.2,32.5,2017-05-06
921.1,896.9,31.6,2017-05-07
1068.8,1161.8,30.8,2017-05-08
1089.2,1174.4,31,2017-05-09
1104.7,1184.5,31.2,2017-05-10
1087.9,1168.7,32.4,2017-05-11
1102.5,1112,33.2,2017-05-12
996,957.1,31.4,2017-05-13
915.2,903.3,32.3,2017-05-14
1080.5,1105.9,31.6,2017-05-15
1014,1011.8,27.5,2017-05-16
1023,1034.4,30.6,2017-05-17
1057.1,1096.7,31.4,2017-05-18
1047.8,1092.8,30.3,2017-05-19
915.5,893.7,27.3,2017-05-20
909.5,888.6,31.7,2017-05-21
1076.7,1098.3,30.8,2017-05-22
1070.5,1068.7,31.2,2017-05-23
1073.4,1071.5,30,2017-05-24
1060.7,1047.4,30.5,2017-05-25
1051.6,977.4,30.8,2017-05-26
950.4,896.1,30.8,2017-05-27
900.6,821.6,30.1,2017-05-28
917.9,878.9,32.3,2017-05-29
910.4,820.5,27.5,2017-05-30
1070.2,1114.3,30.8,2017-05-31
1054.3,1096.2,30.3,2017-06-01
1059.4,1101.2,29.2,2017-06-02
1036.8,1067.9,29.4,2017-06-03
917.9,871.2,28.8,2017-06-04
1050.7,1108.3,31.4,2017-06-05
1032.7,1119.9,33,2017-06-06
1071.7,1168.3,33.2,2017-06-07
1101.5,1212,33.7,2017-06-08
1093.9,1178.7,32.9,2017-06-09
1030.1,1102.3,33.8,2017-06-10
1030.4,958.5,33.9,2017-06-11
1116.7,1137.3,34.1,2017-06-12
1115.3,1188.2,33.6,2017-06-13
1079.6,1074.6,29.7,2017-06-14
1022.6,1059.2,27.2,2017-06-15
1049.9,1079.9,30.3,2017-06-16
945.1,964.8,28.4,2017-06-17
920.2,890.7,30.4,2017-06-18
1068,1124.9,30.9,2017-06-19
1083.1,1186.8,31.9,2017-06-20
1119.9,1169.1,32.7,2017-06-21
1161,1194.1,33.7,2017-06-22
1095.5,1145,32.7,2017-06-23
1023.2,1066.8,32.4,2017-06-24
967.5,934.1,32.9,2017-06-25
1156.8,1256.4,33.4,2017-06-26
1134.6,1242.9,33.2,2017-06-27
1138.1,1245.4,33,2017-06-28
1123.2,1246.9,33.4,2017-06-29
1118.4,1252.5,32.9,2017-06-30
