max_east_usage,max_east_supply,max_temperature,w_date
NULL,NULL,27.3,2017-03-20
NULL,NULL,26.6,2017-03-21
NULL,NULL,26.6,2017-03-22
NULL,NULL,24.4,2017-03-23
NULL,NULL,24.3,2017-03-24
NULL,NULL,27.1,2017-03-25
NULL,NULL,18.5,2017-03-26
NULL,NULL,24.6,2017-03-27
NULL,NULL,25,2017-03-28
NULL,NULL,23.4,2017-03-29
NULL,NULL,25.2,2017-03-30
NULL,NULL,29.3,2017-03-31
NULL,NULL,20.3,2017-04-01
NULL,NULL,22.5,2017-04-02
NULL,NULL,23.9,2017-04-03
NULL,NULL,26.3,2017-04-04
NULL,NULL,27.9,2017-04-05
NULL,NULL,28.9,2017-04-06
NULL,NULL,27.2,2017-04-07
NULL,NULL,29.1,2017-04-08
NULL,NULL,30,2017-04-09
NULL,NULL,29.3,2017-04-10
NULL,NULL,28.9,2017-04-11
NULL,NULL,21.8,2017-04-12
NULL,NULL,22,2017-04-13
NULL,NULL,24.8,2017-04-14
NULL,NULL,29.8,2017-04-15
NULL,NULL,30.5,2017-04-16
NULL,NULL,30.2,2017-04-17
NULL,NULL,30.3,2017-04-18
42.7,6.3,30.6,2017-04-19
43.7,5.9,30.6,2017-04-20
42.4,12.4,31.5,2017-04-21
37.3,15.8,23.6,2017-04-22
37.2,15.9,23.2,2017-04-23
38.5,16.3,24.2,2017-04-24
43.1,14,28.8,2017-04-25
41.4,13.3,31.9,2017-04-26
38.5,17.6,24.2,2017-04-27
37.9,17.6,21.7,2017-04-28
38.9,14.2,25.4,2017-04-29
40.4,10.9,27.3,2017-04-30
41.9,9.8,28.2,2017-05-01
43.2,10.7,30.5,2017-05-02
43.2,10.5,30.3,2017-05-03
42.2,9.5,30.7,2017-05-04
41.6,9.3,31.7,2017-05-05
41.9,8.8,30.6,2017-05-06
42.1,9.3,29.3,2017-05-07
43.6,10.4,30.5,2017-05-08
47,10.4,33.9,2017-05-09
44.9,9.6,31.2,2017-05-10
43.1,12.6,31.9,2017-05-11
40.9,8.5,31.6,2017-05-12
41.9,7.5,32.5,2017-05-13
40.1,9.5,30.2,2017-05-14
43.6,8.3,31.1,2017-05-15
40.1,16.3,26.8,2017-05-16
40.9,16.7,26,2017-05-17
41,13.2,28.7,2017-05-18
39.3,11.6,25.8,2017-05-19
40.9,13,26.4,2017-05-20
41,12,30.2,2017-05-21
43.5,12.2,29.9,2017-05-22
44,12.2,28.4,2017-05-23
43.8,10.7,32,2017-05-24
41.3,9.6,26.7,2017-05-25
38.7,10.4,26.5,2017-05-26
41.5,16.1,28.1,2017-05-27
41.6,13.5,27.5,2017-05-28
41.6,12.5,29.8,2017-05-29
41.6,12.8,29.1,2017-05-30
46,12.6,30.9,2017-05-31
46.4,17.2,32.1,2017-06-01
45.7,17.5,30.3,2017-06-02
41.9,14,27.4,2017-06-03
43,14,27.7,2017-06-04
45.5,14,31.4,2017-06-05
47.4,14.1,32.6,2017-06-06
48.3,14.5,32.3,2017-06-07
47.6,16.9,32.4,2017-06-08
46.3,17.2,32.6,2017-06-09
47.2,17.1,32.8,2017-06-10
49,16,33.6,2017-06-11
50.8,17.4,33.7,2017-06-12
48.2,11.7,32.8,2017-06-13
44.2,11.8,32.5,2017-06-14
40.9,17.3,26.9,2017-06-15
42.4,14.9,30.4,2017-06-16
42.1,14.6,27.9,2017-06-17
43.3,14.7,30.6,2017-06-18
42.6,14.5,33.5,2017-06-19
44.8,14.3,33.3,2017-06-20
47.4,17.1,33.2,2017-06-21
49.5,17,33.7,2017-06-22
50,17.1,34,2017-06-23
50,14.4,34.9,2017-06-24
49.4,16.3,34.1,2017-06-25
51.8,15.4,33.5,2017-06-26
48.8,15,33.9,2017-06-27
50.7,14.4,33.5,2017-06-28
51.6,14.3,34.1,2017-06-29
48.8,9.7,33.7,2017-06-30
